Chapter number,Topic number,Paper number,Questions,Answers
Chapter 5,Topic 2 - Electricity 02 - Electricity in the home,Paper 1,"What are the units for power, current, potential difference, and resistance?","watts (W), amps (A), volts (V), ohms (Ω)"
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,Which two quantities do you need to measure to find the density of a solid or liquid?,mass and volume
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,What happens to the particles in a substance if its temperature is increased?,they move faster and the energy in their kinetic energy store increases
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,Why are changes of state physical changes?,no new substances are produced and the substance will have the same properties as before if the change is reversed
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,Why is the mass of a substance conserved when it changes state?,the number of particles does not change
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,What is the internal energy of a substance?,the total kinetic energy and potential energy of all the particles in the substance
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,Why does a graph showing the change in temperature as a substance cools have a flat section when the substance is changing state?,the energy transferred during a change in state causes a change in the internal energy of the substance
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,What is the name given to the energy transferred when a substance changes state?,latent heat
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,What is the specific latent heat of a substance?,the energy required to change the state of one kilogram of that substance with no change in temperature
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,What is the specific latent heat of fusion a substance?,"the energy required to change one kilogram of the substance from solid to liquid at its melting point, without changing its temperature"
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,What is the specific latent heat of vaporisation of a substance?,"the energy required to change one kilogram of the substance from liquid to vapour at its boiling point, without changing its temperature"
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,"On a graph of temperature against time for a substance being heated up or cooled down, what do the flat (horizontal) sections show?",the time when the substance is changing state and the temperature is not changing
Chapter 6,Topic 3 - Particle Model of Matter - Molecules and matter,Paper 1,What property of a gas is related to the average kinetic energy of its particles?,temperature
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,Describe the basic structure of an atom.,"nucleus containing protons and neutrons, around which electrons orbit in fixed energy levels/shells"
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,Describe the plum pudding model of the atom.,sphere of positive charge with negative electrons embedded in it
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,"What charges do protons, neutrons, and electrons carry?","protons = positive, neutrons = no charge, electrons = negative"
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,Why do atoms have no overall charge?,equal numbers of positive protons and negative electrons
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What is the radius of an atom?,around 1×10−10 m
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What is ionisation?,process which adds or removes electrons from an atom
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What is the mass number of an element?,number of protons + number of neutrons
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,Which particle do atoms of the same element always have the same number of?,protons
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What are isotopes?,atoms of the same element (same number of protons) with different numbers of neutrons
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What were the two main conclusions from the alpha particle scattering experiment?,"• most of the mass of an atom is concentrated in the nucleus

• nucleus is positively charged"
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What are the three types of nuclear radiation?,"alpha, beta, and gamma"
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,Which type of nuclear radiation is the most ionising?,alpha
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,"What is the range in air of alpha, beta, and gamma radiation?","a few cm, 1 m, and unlimited, respectively"
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What are the equation symbols for alpha and beta particles?,4/2 α and 0/−1 β
Chapter 7,Topic 4 - Atomic Structure - Radioactivity,Paper 1,What is meant by the half-life of a radioactive source?,time taken for half the unstable nuclei to decay or the time taken for the count rate to halve
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is a scalar quantity?,only has a size (magnitude)
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is a vector quantity?,has both a size and direction
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is a force?,a push or pull that acts on an object due to the interaction with another object
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,Is force a vector or scalar quantity?,vector
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is a contact force?,"when objects are physically touching (e.g., friction, air-resistance, tension, normal contact force)"
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is a non-contact force?,"when objects are physically separated (e.g., gravitational, electrostatic, magnetic)"
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is the same about the interaction pair of forces when two objects interact with each other?,the forces are the same size
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is different about the interaction pair of forces when two objects interact with each other?,forces are in opposite directions
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is the size of the resultant force on an object if the forces on it are balanced?,zero
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is the centre of mass?,the point through which the weight of an object can be considered to act
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What can you say about clockwise and anticlockwise moments on a balanced object?,sum of all the clockwise moments about any point = sum of all the anticlockwise moments about that point
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What does Newton’s First Law say?,the velocity of an object will only change if a resultant force is acting on it
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is the resultant force on a stationary object?,zero
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What is the resultant force on an object moving at a steady speed in a straight line?,zero
Chapter 8,Topic 5 - Forces 01 - Forces in balance,Paper 2,What does Newton’s Third Law say?,when two objects interact they exert equal and opposite forces on each other
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,How do you find the speed from a distance-time graph if the object is accelerating?,Draw a tangent to the curve and find the gradient.
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What is the difference between speed and velocity?,"speed is a scalar quantity and only has a magnitude (size), velocity is a vector quantity and has both magnitude and direction"
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,"What factors can affect the speed at which someone walks, runs, or cycles?","age, fitness, terrain, and distance travelled"
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,"What are typical speeds for a person walking, running, and cycling?","1.5 m/s, 3.0 m/s, and 6.0 m/s respectively"
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What are typical speeds of a car and a train?,13–30 m/s and 50 m/s respectively
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What is a typical speed for sound travelling in air?,330 m/s
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What is acceleration?,change in velocity of an object per second
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What is the unit of acceleration?,m/s2
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,How can an object be accelerating even if it is travelling at a steady speed?,if it is changing direction
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What is happening to an object if it has a negative acceleration?,it is slowing down
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What information does the gradient of the line in a distance–time graph provide?,speed
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What information does the gradient of the line in a velocity–time graph provide?,acceleration
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,How can the distance travelled by an object be found from its velocity–time graph?,calculate the area under the graph
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is the name given to the distance a vehicle travels to safely come to a stop after the driver has spotted a hazard?,stopping distance
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is thinking distance?,the distance vehicle travels during driver’s reaction time
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is braking distance?,the distance vehicle travels once brakes have been applied
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,"What is the relationship between stopping distance, thinking distance, and braking distance?",stopping distance = thinking distance + braking distance
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,Does the speed of a vehicle have a bigger effect on braking distance or thinking distance?,braking distance
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,Which distance is proportional to the speed of the vehicle?,thinking distance
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What are three factors that can affect the braking distance of a vehicle?,"speed, road conditions, condition of tyres and brakes"
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What can happen if the braking force used to stop a vehicle is very large?,brakes may overheat  / the car may skid
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is elastic deformation?,an object can go back to its original shape and size when deforming forces are removed
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is inelastic deformation?,an object does not go back to its original shape and size when deforming forces are removed
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,How do you find the spring constant from a force-extension graph of a spring?,find the gradient of the straight line section
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a transverse wave?,oscillations/vibrations are perpendicular (at right angles) to the direction of energy transfer
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a longitudinal wave?,oscillations/vibrations are parallel to the direction of energy transfer
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,Give an example of a transverse wave.,electromagnetic waves
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,Give an example of a longitudinal wave.,sound waves
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a compression?,area in longitudinal waves where the particles are squashed closer together
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a rarefaction?,area in longitudinal waves where the particles are pulled further apart
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is the amplitude of a wave?,maximum displacement of a point on the wave from its undisturbed position
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is the wavelength of a wave?,distance from a point on one wave to the equivalent point on the adjacent wave
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is the frequency of a wave?,number of waves passing a fixed point per second
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What unit is frequency measured in?,hertz (Hz)
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What property of a wave always stays the same when it travels from one medium to another?,frequency
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What rule do waves follow when they reflect off a surface?,angle of incidence = angle of reflection
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What happens when waves are transmitted at a boundary between two substances?,they carry on moving at a different speed
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What happens when waves are absorbed by a substance?,energy of the wave is transferred to energy stores of the substance
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Are electromagnetic (EM) waves longitudinal or transverse waves?,transverse
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Explain why EM waves are not mechanical waves.,they can travel through a vacuum (don’t need a substance to travel through)
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What do EM waves transfer from their source to an absorber?,energy
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,List the different types of waves in the EM spectrum in order of decreasing wavelength (increasing frequency).,"radio, microwave, infrared, visible, ultraviolet, X-rays, gamma"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Which part of the EM spectrum can humans see?,visible light
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How can electromagnetic waves be produced?,changes inside an atom/atomic nucleus
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How are gamma rays produced?,"changes in the nucleus of an atom, for example during radioactive decay"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How can radio waves be produced?,oscillations in an electrical circuit
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How can we detect radio waves?,waves are absorbed and create an alternating current with the same frequency as the radio wave
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What are radio waves used for?,"transmitting television, mobile phone, and Bluetooth signals"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What are microwaves used for?,"satellite communications, cooking food"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What is infrared radiation used for?,"heating, remote controls, infrared cameras, cooking food"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Which types of EM waves are harmful to the human body?,"ultraviolet, X-rays, gamma rays"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What are the hazards of being exposed to ultraviolet radiation?,"damage skin cells, sunburn, increase risk of skin cancer, age skin prematurely, blindness"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Why are X-rays used for medical imaging?,they pass through flesh but not bone
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Why are gamma rays used for treating cancer and sterilising medical equipment?,high doses kill cells and bacteria
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is a magnetic field?,the region of space around a magnet where a magnetic material will experience a force
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What happens when like and unlike poles are brought together?,"like = repel, unlike = attract"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What happens to the strength of the magnetic field as you get further away from the magnet?,decreases
Chapter 13,Topic 7 - Electromagnetism,Paper 2,Where is the magnetic field of a magnet strongest?,at the poles
Chapter 13,Topic 7 - Electromagnetism,Paper 2,In which direction do magnetic field lines always point?,north to south
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What does the distance between magnetic field lines indicate?,"strength of the field, closer together = stronger field"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is a permanent magnet?,material that produces its own magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is an induced magnet?,material that becomes magnetic when it is put in a magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What does a magnetic compass contain?,small bar magnet
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is produced around a wire when an electric current flows through it?,magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What factors does the strength of the magnetic field around a straight wire depend upon?,"size of current, distance from wire"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What effect does shaping the wire into a solenoid have on the magnetic field strength?,increases strength of magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,How can the strength of the magnetic field inside a solenoid be increased?,put an iron core inside
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What does Fleming’s left-hand rule show?,"relative orientation of the force, current in the conductor, and magnetic field for the motor effect"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is the symbol for magnetic flux density and what unit is it measured in?,"B, tesla (T)"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is the motor effect?,when a conductor placed in a magnetic field experiences a force
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What causes the motor effect?,interaction between the magnetic field created by current in a wire and the magnetic field in which the wire is placed
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What do loudspeakers and headphones do?,use the motor effect to convert variations in current in electrical circuits to pressure variations in sound waves
