Chapter number,Topic number,Paper number,Questions,Answers
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,Does negative acceleration always mean an object is slowing down?,No. It slows down only when acceleration is opposite to its velocity.
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What information does the gradient of the line in a distance–time graph provide?,speed
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What information does the gradient of the line in a velocity–time graph provide?,acceleration
Chapter 9,Topic 5 - Forces 02 - Motion,Paper 2,What does the area under a velocity–time graph give?,"Displacement; for distance, add the magnitudes of the areas above and below the time axis."
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is stopping distance?,Thinking distance plus braking distance.
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is thinking distance?,Distance travelled during the driver’s reaction time.
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is braking distance?,Distance travelled after the brakes are applied.
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,"What is the relationship between stopping distance, thinking distance, and braking distance?",stopping distance = thinking distance + braking distance
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,Does the speed of a vehicle have a bigger effect on braking distance or thinking distance?,braking distance
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,"At fixed reaction time, which stopping-distance component is proportional to speed?",Thinking distance.
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What are three factors that can affect the braking distance of a vehicle?,"speed, road conditions, condition of tyres and brakes"
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What can happen if the braking force used to stop a vehicle is very large?,The brakes may overheat or the wheels may skid.
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is elastic deformation?,an object can go back to its original shape and size when deforming forces are removed
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,What is inelastic deformation?,an object does not go back to its original shape and size when deforming forces are removed
Chapter 10,Topic 5 - Forces 03 - Forces and motion,Paper 2,How do you find the spring constant from a force-extension graph of a spring?,find the gradient of the straight line section
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a transverse wave?,oscillations/vibrations are perpendicular (at right angles) to the direction of energy transfer
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a longitudinal wave?,oscillations/vibrations are parallel to the direction of energy transfer
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,Give an example of a transverse wave.,electromagnetic waves
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,Give an example of a longitudinal wave.,sound waves
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a compression?,Region of a longitudinal wave where particles are close together.
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is a rarefaction?,Region of a longitudinal wave where particles are further apart.
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is the amplitude of a wave?,maximum displacement of a point on the wave from its undisturbed position
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is the wavelength of a wave?,distance from a point on one wave to the equivalent point on the adjacent wave
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What is the frequency of a wave?,number of waves passing a fixed point per second
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What unit is frequency measured in?,hertz (Hz)
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What property of a wave always stays the same when it travels from one medium to another?,frequency
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What rule do waves follow when they reflect off a surface?,angle of incidence = angle of reflection
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What may happen to a wave transmitted into a different medium?,"Its speed may change, causing refraction if it enters at an angle."
Chapter 11,Topic 6 - Waves 01 - Wave properties,Paper 2,What happens when waves are absorbed by a substance?,energy of the wave is transferred to energy stores of the substance
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Are electromagnetic (EM) waves longitudinal or transverse waves?,transverse
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Explain why EM waves are not mechanical waves.,They can travel through a vacuum.
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What do EM waves transfer from their source to an absorber?,energy
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,List the EM spectrum in order of decreasing wavelength.,"radio, microwave, infrared, visible, ultraviolet, X-rays, gamma"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Which part of the EM spectrum can humans see?,visible light
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How can electromagnetic waves be produced?,By accelerating electric charges; gamma rays can also come from nuclear changes.
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How are gamma rays produced?,"changes in the nucleus of an atom, for example during radioactive decay"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How can radio waves be produced?,oscillations in an electrical circuit
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,How can we detect radio waves?,An aerial absorbs the waves and produces an alternating current of the same frequency.
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What are radio waves used for?,"transmitting television, mobile phone, and Bluetooth signals"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What are microwaves used for?,"satellite communications, cooking food"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What is infrared radiation used for?,"heating, remote controls, infrared cameras, cooking food"
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Which high-frequency EM waves can damage body cells?,"Ultraviolet, X-rays and gamma rays."
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,What are the hazards of being exposed to ultraviolet radiation?,"Skin damage, including sunburn and increased skin-cancer risk; eye damage."
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Why are X-rays used for medical imaging?,"Bone absorbs more X-rays than soft tissue, creating image contrast."
Chapter 12,Topic 6 - Waves 02 - EM spectrum,Paper 2,Why are gamma rays used for treating cancer and sterilising medical equipment?,High doses kill cancer cells and microorganisms.
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is a magnetic field?,the region of space around a magnet where a magnetic material will experience a force
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What happens when like and unlike poles are brought together?,"like = repel, unlike = attract"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What happens to the strength of the magnetic field as you get further away from the magnet?,decreases
Chapter 13,Topic 7 - Electromagnetism,Paper 2,Where is the magnetic field of a magnet strongest?,at the poles
Chapter 13,Topic 7 - Electromagnetism,Paper 2,"Outside a magnet, which way do magnetic field lines point?",From north to south.
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What does the distance between magnetic field lines indicate?,"strength of the field, closer together = stronger field"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is a permanent magnet?,material that produces its own magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is an induced magnet?,material that becomes magnetic when it is put in a magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What does a magnetic compass contain?,small bar magnet
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is produced around a wire when an electric current flows through it?,magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What factors does the strength of the magnetic field around a straight wire depend upon?,"size of current, distance from wire"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What effect does shaping the wire into a solenoid have on the magnetic field strength?,increases strength of magnetic field
Chapter 13,Topic 7 - Electromagnetism,Paper 2,How can the strength of the magnetic field inside a solenoid be increased?,put an iron core inside
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What does Fleming’s left-hand rule show?,"relative orientation of the force, current in the conductor, and magnetic field for the motor effect"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is the symbol for magnetic flux density and what unit is it measured in?,"B, tesla (T)"
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What is the motor effect?,A current-carrying conductor experiences a force in a magnetic field.
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What causes the motor effect?,The field around the current interacts with the external magnetic field.
Chapter 13,Topic 7 - Electromagnetism,Paper 2,What do loudspeakers and headphones do?,Use the motor effect to turn changing current into sound waves.
