Chapter number,Topic number,Topic,Paper number,Questions,Answers
Chapter 7,Topic 4,Radioactivity,Paper 1,What are isotopes?,atoms of the same element with different numbers of neutrons
Chapter 7,Topic 4,Radioactivity,Paper 1,What were two main conclusions from the alpha particle scattering experiment?,"Most of the atom is empty space; a tiny, positively charged nucleus contains most of its mass."
Chapter 7,Topic 4,Radioactivity,Paper 1,What are the three types of nuclear radiation?,"alpha, beta, gamma"
Chapter 7,Topic 4,Radioactivity,Paper 1,Which type of nuclear radiation is the most ionising?,alpha
Chapter 7,Topic 4,Radioactivity,Paper 1,"How far do alpha, beta and gamma radiation travel through air?","Alpha: a few cm. Beta: around 1 m. Gamma: much further, with no fixed range."
Chapter 7,Topic 4,Radioactivity,Paper 1,What are the equation symbols for alpha and beta particles?,⁴₂He (α) and ⁰₋₁e (β⁻).
Chapter 7,Topic 4,Radioactivity,Paper 1,What is meant by the half‑life of a radioactive source?,"Time for half the unstable nuclei to decay, or for the source’s count rate above background to halve."
Chapter 7,Topic 4,Radioactivity,Paper 1,What is radioactive contamination?,unwanted presence of substances containing radioactive atoms on or in materials
Chapter 7,Topic 4,Radioactivity,Paper 1,Where does background radiation come from?,"rocks, cosmic rays, fallout from weapons testing, nuclear accidents"
Chapter 7,Topic 4,Radioactivity,Paper 1,Why are gamma‑emitting sources used for medical tracers and imaging?,gamma passes through body with relatively less damage to cells
Chapter 7,Topic 4,Radioactivity,Paper 1,What is nuclear fusion?,when two light nuclei join to make a heavier one
Chapter 7,Topic 4,Radioactivity,Paper 1,How can neutron-induced nuclear fission occur?,"A heavy nucleus absorbs a neutron, splits into two smaller nuclei and releases energy and more neutrons."
Chapter 11,Topic 5,Force and pressure,Paper 2,What is a fluid?,a substance that can flow (liquid or gas)
Chapter 11,Topic 5,Force and pressure,Paper 2,What is the unit of pressure equal to one newton per square metre?,pascal (Pa)
Chapter 11,Topic 5,Force and pressure,Paper 2,Why does the pressure in a liquid increase with depth?,pressure at a point is due to weight of liquid above that point
Chapter 11,Topic 5,Force and pressure,Paper 2,Why does the pressure in a liquid depend on the liquid’s density?,weight of a liquid depends on its density
Chapter 11,Topic 5,Force and pressure,Paper 2,What is upthrust?,upward resultant force due to greater pressure on the bottom surface than the top
Chapter 11,Topic 5,Force and pressure,Paper 2,"If weight and upthrust are the only forces on a fully submerged object and they are equal, what is its vertical acceleration?",Zero.
Chapter 11,Topic 5,Force and pressure,Paper 2,What will an object do if its weight is greater than the upthrust?,sink
Chapter 11,Topic 5,Force and pressure,Paper 2,Why does an object denser than a fluid sink in it?,Its weight exceeds the upthrust when fully submerged.
Chapter 11,Topic 5,Force and pressure,Paper 2,Why does an object less dense than a fluid float in it?,"When fully submerged, upthrust exceeds its weight; it rises until the forces balance."
Chapter 11,Topic 5,Force and pressure,Paper 2,Does a partially submerged object experience greater pressure on its bottom or top surface?,bottom
Chapter 11,Topic 5,Force and pressure,Paper 2,What is the Earth’s atmosphere?,the layer of air that surrounds the Earth
Chapter 11,Topic 5,Force and pressure,Paper 2,What is atmospheric pressure caused by?,air molecules colliding with surfaces
Chapter 11,Topic 5,Force and pressure,Paper 2,Why does atmospheric pressure decrease with increased altitude?,less weight of air above; lower air density at higher altitude
Chapter 11,Topic 5,Force and pressure,Paper 2,How does the height of the atmosphere compare to the Earth’s radius?,it is much smaller
Chapter 15,Topic 7,Electromagnetism,Paper 2,What is a magnetic field?,the region around a magnet where a magnetic material experiences a force
Chapter 15,Topic 7,Electromagnetism,Paper 2,What happens when like and unlike poles are brought together?,like repel; unlike attract
Chapter 15,Topic 7,Electromagnetism,Paper 2,What happens to the strength of a magnetic field with distance from the magnet?,decreases
Chapter 15,Topic 7,Electromagnetism,Paper 2,Where is a magnet’s field strongest?,at the poles
Chapter 15,Topic 7,Electromagnetism,Paper 2,"Outside a magnet, which way do magnetic field lines point?",From north to south.
Chapter 15,Topic 7,Electromagnetism,Paper 2,What does the spacing of magnetic field lines indicate?,closer lines = stronger field
Chapter 15,Topic 7,Electromagnetism,Paper 2,What is a permanent magnet?,material that produces its own magnetic field
Chapter 15,Topic 7,Electromagnetism,Paper 2,What is an induced magnet?,material that becomes magnetic when placed in a magnetic field
Chapter 15,Topic 7,Electromagnetism,Paper 2,What does a magnetic compass contain?,small bar magnet
Chapter 15,Topic 7,Electromagnetism,Paper 2,What is produced around a wire when an electric current flows?,a magnetic field
Chapter 15,Topic 7,Electromagnetism,Paper 2,What factors affect field strength around a straight wire?,size of current; distance from wire
Chapter 15,Topic 7,Electromagnetism,Paper 2,What effect does shaping a current‑carrying wire into a solenoid have?,increases magnetic field strength
Chapter 15,Topic 7,Electromagnetism,Paper 2,How can the field inside a solenoid be increased?,put an iron core inside
Chapter 15,Topic 7,Electromagnetism,Paper 2,What does Fleming’s left‑hand rule show?,"relative orientation of force, current, and magnetic field for the motor effect"
Chapter 15,Topic 7,Electromagnetism,Paper 2,What is the symbol for magnetic flux density and its unit?,B; tesla (T)
Chapter 15,Topic 7,Electromagnetism,Paper 2,What is the motor effect?,A current-carrying conductor experiences a force in a magnetic field.
Chapter 15,Topic 7,Electromagnetism,Paper 2,What causes the motor effect?,interaction between the field from the current and the external magnetic field
Chapter 15,Topic 7,Electromagnetism,Paper 2,What do loudspeakers and headphones do?,use the motor effect to convert current variations into sound waves
Chapter 2,Topic 1,Energy transfer by heating,Paper 1,What does a material’s thermal conductivity tell you?,how well it conducts heat
Chapter 2,Topic 1,Energy transfer by heating,Paper 1,Which materials have low thermal conductivity?,thermal insulators
Chapter 2,Topic 1,Energy transfer by heating,Paper 1,Give three factors that determine the rate of thermal energy transfer through a material.,thermal conductivity; temperature difference; thickness
Chapter 2,Topic 1,Energy transfer by heating,Paper 1,What factors affect the rate of heat loss from a building?,thickness and thermal conductivity of walls/roof; temperature difference
Chapter 2,Topic 1,Energy transfer by heating,Paper 1,Define specific heat capacity.,Energy needed to raise the temperature of 1 kg of a substance by 1 °C.
Chapter 16,Topic 8,Space,Paper 2,What are the main objects in our Solar System?,"Sun, (eight) planets, dwarf planets, moons, asteroids, comets"
Chapter 16,Topic 8,Space,Paper 2,What kind of object is the Sun?,star
Chapter 16,Topic 8,Space,Paper 2,Which galaxy is the Solar System in?,the Milky Way
Chapter 16,Topic 8,Space,Paper 2,What do all stars start off as?,a huge cloud of gas and dust called a nebula
Chapter 16,Topic 8,Space,Paper 2,Which force forms a protostar from a nebula?,gravity
Chapter 16,Topic 8,Space,Paper 2,What outward effect does fusion have in a star?,Energy released by fusion produces outward pressure that opposes gravity.
Chapter 16,Topic 8,Space,Paper 2,How does a main sequence star remain stable?,outward forces from fusion balance gravitational forces
Chapter 16,Topic 8,Space,Paper 2,What determines a star’s life cycle?,mass
Chapter 16,Topic 8,Space,Paper 2,What is the life cycle of a Sun‑like star?,protostar → main sequence → red giant → white dwarf → black dwarf
Chapter 16,Topic 8,Space,Paper 2,What is the life cycle of a much more massive star?,protostar → main sequence → red supergiant → supernova → neutron star or black hole (if mass high enough)
Chapter 16,Topic 8,Space,Paper 2,How do stars form elements up to iron?,By fusion of lighter nuclei.
Chapter 16,Topic 8,Space,Paper 2,Which elements are only produced in a supernova?,elements heavier than iron
Chapter 16,Topic 8,Space,Paper 2,How are elements distributed throughout the universe?,by massive stars going supernova
Chapter 16,Topic 8,Space,Paper 2,How does gravity change velocity but not speed in circular orbits?,gravity provides centripetal force; direction changes but speed may be constant
Chapter 16,Topic 8,Space,Paper 2,How can a satellite move into a stable orbit with a different speed?,Change to an orbit of a different radius.
Chapter 16,Topic 8,Space,Paper 2,What is red‑shift?,wavelengths appear longer if the source moves away from the observer
Chapter 16,Topic 8,Space,Paper 2,What evidence suggests the universe is expanding?,more distant galaxies show greater red‑shift (moving away faster)
Chapter 16,Topic 8,Space,Paper 2,What is the name of the theory for the origin of the universe?,the Big Bang theory
Chapter 8,Topic 5,Forces in balance,Paper 2,What is a scalar quantity?,only has a size (magnitude)
Chapter 8,Topic 5,Forces in balance,Paper 2,What is a vector quantity?,has both a size and direction
Chapter 8,Topic 5,Forces in balance,Paper 2,What is a force?,a push or pull that acts on an object due to interaction with another object
Chapter 8,Topic 5,Forces in balance,Paper 2,Is force a vector or scalar quantity?,vector
Chapter 8,Topic 5,Forces in balance,Paper 2,What is a contact force?,"when objects are physically touching (e.g., friction, air‑resistance, tension, normal contact)"
Chapter 8,Topic 5,Forces in balance,Paper 2,What is a non‑contact force?,"when objects are physically separated (e.g., gravitational, electrostatic, magnetic)"
Chapter 8,Topic 5,Forces in balance,Paper 2,What is the same about the interaction pair when two objects interact?,They have equal magnitude and act on different objects.
Chapter 8,Topic 5,Forces in balance,Paper 2,What is different about the interaction pair when two objects interact?,They act in opposite directions.
Chapter 8,Topic 5,Forces in balance,Paper 2,What is the resultant force if forces on an object are balanced?,zero
Chapter 8,Topic 5,Forces in balance,Paper 2,What is the centre of mass?,the point through which the weight of an object can be considered to act
Chapter 8,Topic 5,Forces in balance,Paper 2,What is the turning effect of a force called?,a moment
Chapter 8,Topic 5,Forces in balance,Paper 2,What about the moments on a balanced object?,sum of clockwise moments = sum of anticlockwise moments
Chapter 8,Topic 5,Forces in balance,Paper 2,How does a lever reduce the force needed for a given moment?,by increasing the distance from the pivot
Chapter 8,Topic 5,Forces in balance,Paper 2,What happens to the moment when a small gear drives a large gear?,moment is increased
Chapter 8,Topic 5,Forces in balance,Paper 2,What does Newton’s First Law say?,an object’s velocity changes only if a resultant force acts
Chapter 8,Topic 5,Forces in balance,Paper 2,What is the resultant force on an object that remains at rest?,Zero.
Chapter 8,Topic 5,Forces in balance,Paper 2,What is the resultant force on an object moving at steady speed in a straight line?,zero
Chapter 8,Topic 5,Forces in balance,Paper 2,What does Newton’s Third Law say?,when two objects interact they exert equal and opposite forces on each other
Chapter 9,Topic 5,Motion,Paper 2,How do you find the speed from a distance–time graph if the object is accelerating?,Find the gradient of a tangent at that point.
Chapter 9,Topic 5,Motion,Paper 2,What is the difference between speed and velocity?,speed is a scalar; velocity is a vector (has direction)
